0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:36 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/in/co/pro4/bean/BaseBean.html HTTP/1.1" 200 21221
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:50:38 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/in/co/pro4/bean/DropdownListBean.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/module-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/tag-search-index.zip HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/tag-search-index.js HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [17/Jul/2023:12:52:16 +0530] "GET /Project_4/doc/module-search-index.js HTTP/1.1" 404 931
